National Dex Number,Pokemon Name,Pokemon Pic URL,Pokemon Types,Abilities,"Base Stats (HP, Atk, Def, SpA, SpD, Speed)"
#0033,Nidorino,https://www.serebii.net/pokedex-sv/icon/new/033.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Poison Point', 'Rivalry', 'Hustle']","['61', '72', '57', '55', '55', '65']"
#0034,Nidoking,https://www.serebii.net/pokedex-sv/icon/new/034.png,"['https://www.serebii.net/pokedex-bw/type/poison.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Poison Point', 'Rivalry', 'Sheer Force']","['81', '102', '77', '85', '75', '85']"
#0035,Clefairy,https://www.serebii.net/pokedex-sv/icon/new/035.png,['https://www.serebii.net/pokedex-bw/type/fairy.gif'],"['Cute Charm', 'Magic Guard', 'Friend Guard']","['70', '45', '48', '60', '65', '35']"
#0036,Clefable,https://www.serebii.net/pokedex-sv/icon/new/036.png,['https://www.serebii.net/pokedex-bw/type/fairy.gif'],"['Cute Charm', 'Magic Guard', 'Unaware']","['95', '70', '73', '95', '90', '60']"
#0037,Vulpix,https://www.serebii.net/pokedex-sv/icon/new/037.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Flash Fire', 'Drought']","['38', '41', '40', '50', '65', '65']"
#0038,Ninetales,https://www.serebii.net/pokedex-sv/icon/new/038.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Flash Fire', 'Drought']","['73', '76', '75', '81', '100', '100']"
#0039,Jigglypuff,https://www.serebii.net/pokedex-sv/icon/new/039.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Cute Charm', 'Competitive', 'Friend Guard']","['115', '45', '20', '45', '25', '20']"
#0040,Wigglytuff,https://www.serebii.net/pokedex-sv/icon/new/040.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/fairy.gif']","['Cute Charm', 'Competitive', 'Frisk']","['140', '70', '45', '85', '50', '45']"
#0041,Zubat,https://www.serebii.net/pokedex-sv/icon/new/041.png,"['https://www.serebii.net/pokedex-bw/type/poison.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Inner Focus', 'Infiltrator']","['40', '45', '35', '30', '40', '55']"
#0042,Golbat,https://www.serebii.net/pokedex-sv/icon/new/042.png,"['https://www.serebii.net/pokedex-bw/type/poison.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Inner Focus', 'Infiltrator']","['75', '80', '70', '65', '75', '90']"
#0043,Oddish,https://www.serebii.net/pokedex-sv/icon/new/043.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Chlorophyll', 'Run Away']","['45', '50', '55', '75', '65', '30']"
#0044,Gloom,https://www.serebii.net/pokedex-sv/icon/new/044.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Chlorophyll', 'Stench']","['60', '65', '70', '85', '75', '40']"
#0045,Vileplume,https://www.serebii.net/pokedex-sv/icon/new/045.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Chlorophyll', 'Effect Spore']","['75', '80', '85', '110', '90', '50']"
#0046,Paras,https://www.serebii.net/pokedex-sv/icon/new/046.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Effect Spore', 'Dry Skin', 'Damp']","['35', '70', '55', '45', '55', '25']"
#0047,Parasect,https://www.serebii.net/pokedex-sv/icon/new/047.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/grass.gif']","['Effect Spore', 'Dry Skin', 'Damp']","['60', '95', '80', '60', '80', '30']"
#0048,Venonat,https://www.serebii.net/pokedex-sv/icon/new/048.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Compoundeyes', 'Tinted Lens', 'Run Away']","['60', '55', '50', '40', '55', '45']"
#0049,Venomoth,https://www.serebii.net/pokedex-sv/icon/new/049.png,"['https://www.serebii.net/pokedex-bw/type/bug.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Shield Dust', 'Tinted Lens', 'Wonder Skin']","['70', '65', '60', '90', '75', '90']"
#0050,Diglett,https://www.serebii.net/pokedex-sv/icon/new/050.png,['https://www.serebii.net/pokedex-bw/type/ground.gif'],"['Sand Veil', 'Arena Trap', 'Sand Force']","['10', '55', '25', '35', '45', '95']"
#0051,Dugtrio,https://www.serebii.net/pokedex-sv/icon/new/051.png,['https://www.serebii.net/pokedex-bw/type/ground.gif'],"['Sand Veil', 'Arena Trap', 'Sand Force']","['35', '100', '50', '50', '70', '120']"
#0052,Meowth,https://www.serebii.net/pokedex-sv/icon/new/052.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Pickup', 'Technician', 'Unnerve']","['40', '45', '35', '40', '40', '90']"
#0053,Persian,https://www.serebii.net/pokedex-sv/icon/new/053.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Limber', 'Technician', 'Unnerve']","['65', '70', '60', '65', '65', '115']"
#0054,Psyduck,https://www.serebii.net/pokedex-sv/icon/new/054.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Damp', 'Cloud Nine', 'Swift Swim']","['50', '52', '48', '65', '50', '55']"
#0055,Golduck,https://www.serebii.net/pokedex-sv/icon/new/055.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Damp', 'Cloud Nine', 'Swift Swim']","['80', '82', '78', '95', '80', '85']"
#0056,Mankey,https://www.serebii.net/pokedex-sv/icon/new/056.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Vital Spirit', 'Anger Point', 'Defiant']","['40', '80', '35', '35', '45', '70']"
#0057,Primeape,https://www.serebii.net/pokedex-sv/icon/new/057.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Vital Spirit', 'Anger Point', 'Defiant']","['65', '105', '60', '60', '70', '95']"
#0058,Growlithe,https://www.serebii.net/pokedex-sv/icon/new/058.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Intimidate', 'Flash Fire', 'Justified']","['55', '70', '45', '70', '50', '60']"
#0059,Arcanine,https://www.serebii.net/pokedex-sv/icon/new/059.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Intimidate', 'Flash Fire', 'Justified']","['90', '110', '80', '100', '80', '95']"
#0060,Poliwag,https://www.serebii.net/pokedex-sv/icon/new/060.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Water Absorb', 'Damp', 'Swift Swim']","['40', '50', '40', '40', '40', '90']"
#0061,Poliwhirl,https://www.serebii.net/pokedex-sv/icon/new/061.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Water Absorb', 'Damp', 'Swift Swim']","['65', '65', '65', '50', '50', '90']"
#0062,Poliwrath,https://www.serebii.net/pokedex-sv/icon/new/062.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/fighting.gif']","['Water Absorb', 'Damp', 'Swift Swim']","['90', '95', '95', '70', '90', '70']"
#0063,Abra,https://www.serebii.net/pokedex-sv/icon/new/063.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Synchronize', 'Inner Focus', 'Magic Guard']","['25', '20', '15', '105', '55', '90']"
#0064,Kadabra,https://www.serebii.net/pokedex-sv/icon/new/064.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Synchronize', 'Inner Focus', 'Magic Guard']","['40', '35', '30', '120', '70', '105']"
#0065,Alakazam,https://www.serebii.net/pokedex-sv/icon/new/065.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Synchronize', 'Inner Focus', 'Magic Guard']","['55', '50', '45', '135', '95', '120']"
#0066,Machop,https://www.serebii.net/pokedex-sv/icon/new/066.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Guts', 'No Guard', 'Steadfast']","['70', '80', '50', '35', '35', '35']"
#0067,Machoke,https://www.serebii.net/pokedex-sv/icon/new/067.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Guts', 'No Guard', 'Steadfast']","['80', '100', '70', '50', '60', '45']"
#0068,Machamp,https://www.serebii.net/pokedex-sv/icon/new/068.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Guts', 'No Guard', 'Steadfast']","['90', '130', '80', '65', '85', '55']"
#0069,Bellsprout,https://www.serebii.net/pokedex-sv/icon/new/069.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Chlorophyll', 'Gluttony']","['50', '75', '35', '70', '30', '40']"
#0070,Weepinbell,https://www.serebii.net/pokedex-sv/icon/new/070.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Chlorophyll', 'Gluttony']","['65', '90', '50', '85', '45', '55']"
#0071,Victreebel,https://www.serebii.net/pokedex-sv/icon/new/071.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Chlorophyll', 'Gluttony']","['80', '105', '65', '100', '70', '70']"
#0072,Tentacool,https://www.serebii.net/pokedex-sv/icon/new/072.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Clear Body', 'Liquid Ooze', 'Rain Dish']","['40', '40', '35', '50', '100', '70']"
#0073,Tentacruel,https://www.serebii.net/pokedex-sv/icon/new/073.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']","['Clear Body', 'Liquid Ooze', 'Rain Dish']","['80', '70', '65', '80', '120', '100']"
#0074,Geodude,https://www.serebii.net/pokedex-sv/icon/new/074.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Rock Head', 'Sturdy', 'Sand Veil']","['40', '80', '100', '30', '30', '20']"
#0075,Graveler,https://www.serebii.net/pokedex-sv/icon/new/075.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Rock Head', 'Sturdy', 'Sand Veil']","['55', '95', '115', '45', '45', '35']"
#0076,Golem,https://www.serebii.net/pokedex-sv/icon/new/076.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Rock Head', 'Sturdy', 'Sand Veil']","['80', '120', '130', '55', '65', '45']"
#0077,Ponyta,https://www.serebii.net/pokedex-sv/icon/new/077.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Run Away', 'Flash Fire', 'Flame Body']","['50', '85', '55', '65', '65', '90']"
#0078,Rapidash,https://www.serebii.net/pokedex-sv/icon/new/078.png,['https://www.serebii.net/pokedex-bw/type/fire.gif'],"['Run Away', 'Flash Fire', 'Flame Body']","['65', '100', '70', '80', '80', '105']"
#0079,Slowpoke,https://www.serebii.net/pokedex-sv/icon/new/079.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Oblivious', 'Own Tempo', 'Regenerator']","['90', '65', '65', '40', '40', '15']"
#0080,Slowbro,https://www.serebii.net/pokedex-sv/icon/new/080.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Oblivious', 'Own Tempo', 'Regenerator']","['95', '75', '110', '100', '80', '30']"
#0081,Magnemite,https://www.serebii.net/pokedex-sv/icon/new/081.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']","['Magnet Pull', 'Sturdy', 'Analytic']","['25', '35', '70', '95', '55', '45']"
#0082,Magneton,https://www.serebii.net/pokedex-sv/icon/new/082.png,"['https://www.serebii.net/pokedex-bw/type/electric.gif', 'https://www.serebii.net/pokedex-bw/type/steel.gif']","['Magnet Pull', 'Sturdy', 'Analytic']","['50', '60', '95', '120', '70', '70']"
#0083,Farfetch'd,https://www.serebii.net/pokedex-sv/icon/new/083.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Keen Eye', 'Inner Focus', 'Defiant']","['52', '90', '55', '58', '62', '60']"
#0084,Doduo,https://www.serebii.net/pokedex-sv/icon/new/084.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Run Away', 'Early Bird', 'Tangled Feet']","['35', '85', '45', '35', '35', '75']"
#0085,Dodrio,https://www.serebii.net/pokedex-sv/icon/new/085.png,"['https://www.serebii.net/pokedex-bw/type/normal.gif', 'https://www.serebii.net/pokedex-bw/type/flying.gif']","['Run Away', 'Early Bird', 'Tangled Feet']","['60', '110', '70', '60', '60', '110']"
#0086,Seel,https://www.serebii.net/pokedex-sv/icon/new/086.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Thick Fat', 'Hydration', 'Ice Body']","['65', '45', '55', '45', '70', '45']"
#0087,Dewgong,https://www.serebii.net/pokedex-sv/icon/new/087.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ice.gif']","['Thick Fat', 'Hydration', 'Ice Body']","['90', '70', '80', '70', '95', '70']"
#0088,Grimer,https://www.serebii.net/pokedex-sv/icon/new/088.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Stench', 'Sticky Hold', 'Poison Touch']","['80', '80', '50', '40', '50', '25']"
#0089,Muk,https://www.serebii.net/pokedex-sv/icon/new/089.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Stench', 'Sticky Hold', 'Poison Touch']","['105', '105', '75', '65', '100', '50']"
#0090,Shellder,https://www.serebii.net/pokedex-sv/icon/new/090.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Shell Armor', 'Skill Link', 'Overcoat']","['30', '65', '100', '45', '25', '40']"
#0091,Cloyster,https://www.serebii.net/pokedex-sv/icon/new/091.png,"['https://www.serebii.net/pokedex-bw/type/water.gif', 'https://www.serebii.net/pokedex-bw/type/ice.gif']","['Shell Armor', 'Skill Link', 'Overcoat']","['50', '95', '180', '85', '45', '70']"
#0092,Gastly,https://www.serebii.net/pokedex-sv/icon/new/092.png,"['https://www.serebii.net/pokedex-bw/type/ghost.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']",['Levitate'],"['30', '35', '30', '100', '35', '80']"
#0093,Haunter,https://www.serebii.net/pokedex-sv/icon/new/093.png,"['https://www.serebii.net/pokedex-bw/type/ghost.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']",['Levitate'],"['45', '50', '45', '115', '55', '95']"
#0094,Gengar,https://www.serebii.net/pokedex-sv/icon/new/094.png,"['https://www.serebii.net/pokedex-bw/type/ghost.gif', 'https://www.serebii.net/pokedex-bw/type/poison.gif']",['Cursed Body'],"['60', '65', '60', '130', '75', '110']"
#0095,Onix,https://www.serebii.net/pokedex-sv/icon/new/095.png,"['https://www.serebii.net/pokedex-bw/type/rock.gif', 'https://www.serebii.net/pokedex-bw/type/ground.gif']","['Rock Head', 'Sturdy', 'Weak Armor']","['35', '45', '160', '30', '45', '70']"
#0096,Drowzee,https://www.serebii.net/pokedex-sv/icon/new/096.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Insomnia', 'Forewarn', 'Inner Focus']","['60', '48', '45', '43', '90', '42']"
#0097,Hypno,https://www.serebii.net/pokedex-sv/icon/new/097.png,['https://www.serebii.net/pokedex-bw/type/psychic.gif'],"['Insomnia', 'Forewarn', 'Inner Focus']","['85', '73', '70', '73', '115', '67']"
#0098,Krabby,https://www.serebii.net/pokedex-sv/icon/new/098.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Hyper Cutter', 'Shell Armor', 'Sheer Force']","['30', '105', '90', '25', '25', '50']"
#0099,Kingler,https://www.serebii.net/pokedex-sv/icon/new/099.png,['https://www.serebii.net/pokedex-bw/type/water.gif'],"['Hyper Cutter', 'Shell Armor', 'Sheer Force']","['55', '130', '115', '50', '50', '75']"
#0100,Voltorb,https://www.serebii.net/pokedex-sv/icon/new/100.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Soundproof', 'Static', 'Aftermath']","['40', '30', '50', '55', '55', '100']"
#0101,Electrode,https://www.serebii.net/pokedex-sv/icon/new/101.png,['https://www.serebii.net/pokedex-bw/type/electric.gif'],"['Soundproof', 'Static', 'Aftermath']","['60', '50', '70', '80', '80', '150']"
#0102,Exeggcute,https://www.serebii.net/pokedex-sv/icon/new/102.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Chlorophyll', 'Harvest']","['60', '40', '80', '60', '45', '40']"
#0103,Exeggutor,https://www.serebii.net/pokedex-sv/icon/new/103.png,"['https://www.serebii.net/pokedex-bw/type/grass.gif', 'https://www.serebii.net/pokedex-bw/type/psychic.gif']","['Chlorophyll', 'Harvest']","['95', '95', '85', '125', '75', '55']"
#0104,Cubone,https://www.serebii.net/pokedex-sv/icon/new/104.png,['https://www.serebii.net/pokedex-bw/type/ground.gif'],"['Rock Head', 'Lightning Rod', 'Battle Armor']","['50', '50', '95', '40', '50', '35']"
#0105,Marowak,https://www.serebii.net/pokedex-sv/icon/new/105.png,['https://www.serebii.net/pokedex-bw/type/ground.gif'],"['Rock Head', 'Lightning Rod', 'Battle Armor']","['60', '80', '110', '50', '80', '45']"
#0106,Hitmonlee,https://www.serebii.net/pokedex-sv/icon/new/106.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Limber', 'Reckless', 'Unburden']","['50', '120', '53', '35', '110', '87']"
#0107,Hitmonchan,https://www.serebii.net/pokedex-sv/icon/new/107.png,['https://www.serebii.net/pokedex-bw/type/fighting.gif'],"['Keen Eye', 'Iron Fist', 'Inner Focus']","['50', '105', '79', '35', '110', '76']"
#0108,Lickitung,https://www.serebii.net/pokedex-sv/icon/new/108.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Own Tempo', 'Oblivious', 'Cloud Nine']","['90', '55', '75', '60', '75', '30']"
#0109,Koffing,https://www.serebii.net/pokedex-sv/icon/new/109.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Levitate', 'Neutralizing Gas', 'Stench']","['40', '65', '95', '60', '45', '35']"
#0110,Weezing,https://www.serebii.net/pokedex-sv/icon/new/110.png,['https://www.serebii.net/pokedex-bw/type/poison.gif'],"['Levitate', 'Neutralizing Gas', 'Stench']","['65', '90', '120', '85', '70', '60']"
#0111,Rhyhorn,https://www.serebii.net/pokedex-sv/icon/new/111.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Lightning Rod', 'Rock Head', 'Reckless']","['80', '85', '95', '30', '30', '25']"
#0112,Rhydon,https://www.serebii.net/pokedex-sv/icon/new/112.png,"['https://www.serebii.net/pokedex-bw/type/ground.gif', 'https://www.serebii.net/pokedex-bw/type/rock.gif']","['Lightning Rod', 'Rock Head', 'Reckless']","['105', '130', '120', '45', '45', '40']"
#0113,Chansey,https://www.serebii.net/pokedex-sv/icon/new/113.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Natural Cure', 'Serene Grace', 'Healer']","['250', '5', '5', '35', '105', '50']"
#0114,Tangela,https://www.serebii.net/pokedex-sv/icon/new/114.png,['https://www.serebii.net/pokedex-bw/type/grass.gif'],"['Chlorophyll', 'Leaf Guard', 'Regenerator']","['65', '55', '115', '100', '40', '60']"
#0115,Kangaskhan,https://www.serebii.net/pokedex-sv/icon/new/115.png,['https://www.serebii.net/pokedex-bw/type/normal.gif'],"['Early Bird', 'Scrappy', 'Inner Focus']","['105', '95', '80', '40', '80', '90']"
